location_code,location,date,averageTemper,highTemper,lowTemper,averageCloud,rainfall,weather 
184,제주,20151201,11.3,16.1,7.2,0.3,0.0,맑음 
184,제주,20151202,13.1,20.1,10.2,8.5,1.6,비 
184,제주,20151203,9.2,10.8,7.2,8.4,0.3,구름많음 
184,제주,20151204,9.0,9.6,7.9,8.1,0.0,구름많음 
184,제주,20151205,10.2,11.0,8.8,7.8,0.0,구름많음 
184,제주,20151206,9.2,10.3,7.4,8.4,0.0,구름많음 
184,제주,20151207,9.4,11.8,7.5,6.0,0.0,구름많음 
184,제주,20151208,9.2,11.9,7.5,3.5,0.0,구름조금 
184,제주,20151209,13.7,19.2,7.5,7.5,0.0,구름많음 
184,제주,20151210,15.2,16.6,13.4,10.0,50.7,비 
184,제주,20151211,11.5,13.5,10.1,9.6,11.4,비 
184,제주,20151212,12.2,13.8,10.0,8.6,0.3,구름많음 
184,제주,20151213,14.1,17.0,12.1,8.4,0.0,구름많음 
184,제주,20151214,14.0,15.8,12.9,8.8,0.6,비 
184,제주,20151215,11.0,13.2,9.2,8.8,0.0,구름많음 
184,제주,20151216,7.0,9.6,3.1,7.6,0.1,구름많음 
184,제주,20151217,4.8,6.1,2.3,7.8,2.9,비 
184,제주,20151218,7.1,8.1,5.6,8.5,0.0,구름많음 
184,제주,20151219,7.8,11.0,5.6,4.5,0.0,구름조금 
184,제주,20151220,9.6,11.7,5.9,9.1,7.3,비 
184,제주,20151221,10.8,13.6,7.4,7.6,4.3,비 
184,제주,20151222,12.3,16.9,7.5,5.1,0.0,구름조금 
184,제주,20151223,12.8,15.4,11.0,9.6,10.2,비 
184,제주,20151224,9.8,11.1,8.4,7.6,0.0,구름많음 
184,제주,20151225,8.0,9.8,6.3,4.8,0.0,구름조금 
184,제주,20151226,11.3,13.5,7.1,5.5,0.0,구름조금 
184,제주,20151227,6.7,11.2,4.5,8.3,0.0,구름많음 
184,제주,20151228,5.8,6.7,4.7,8.4,0.0,구름많음 
184,제주,20151229,6.9,7.8,5.7,8.0,0.0,구름많음 
184,제주,20151230,8.4,11.0,6.6,7.5,0.0,구름많음 
184,제주,20151231,9.0,10.7,7.7,8.0,0.3,구름많음 
184,제주,20160101,8.2,10.8,5.2,7.3,0.0,구름많음 
184,제주,20160102,12.5,16.8,7.8,7.0,0.0,구름많음 
184,제주,20160103,13.0,16.2,10.5,3.8,0.0,구름조금 
184,제주,20160104,11.7,12.9,10.9,4.5,0.0,구름조금 
184,제주,20160105,8.5,11.1,6.6,9.6,6.2,비 
184,제주,20160106,7.3,8.7,5.7,6.9,0.0,구름많음 
184,제주,20160107,7.0,8.2,6.3,8.0,0.0,구름많음 
184,제주,20160108,6.0,7.5,4.4,8.0,0.1,구름많음 
184,제주,20160109,7.0,8.3,5.6,7.5,0.0,구름많음 
184,제주,20160110,8.1,10.9,6.4,7.1,0.0,구름많음 
184,제주,20160111,6.1,7.7,4.3,7.9,0.0,구름많음 
184,제주,20160112,4.9,6.1,4.1,8.3,0.0,구름많음 
184,제주,20160113,4.6,5.7,2.5,8.0,0.1,구름많음 
184,제주,20160114,6.4,7.9,5.0,7.5,0.0,구름많음 
184,제주,20160115,7.1,11.0,4.5,5.6,0.0,구름조금 
184,제주,20160116,7.5,11.1,4.2,5.1,0.0,구름조금 
184,제주,20160117,8.9,10.4,7.4,9.5,33.5,비 
184,제주,20160118,4.1,8.9,-0.3,8.5,0.8,비 
184,제주,20160119,1.5,3.1,-0.4,7.8,3.2,비 
184,제주,20160120,2.4,3.6,1.5,8.1,0.0,구름많음 
184,제주,20160121,2.9,3.9,2.2,9.0,0.0,흐림 
184,제주,20160122,2.8,4.3,1.6,7.0,0.0,구름많음 
184,제주,20160123,-0.5,3.4,-4.1,8.3,12.2,비 
184,제주,20160124,-3.0,0.3,-5.8,7.8,4.6,비 
184,제주,20160125,1.9,4.1,-1.1,8.0,1.6,비 
184,제주,20160126,5.5,7.2,3.8,7.8,0.1,구름많음 
184,제주,20160127,7.2,9.6,4.5,8.9,0.0,구름많음 
184,제주,20160128,8.6,11.5,5.8,10.0,27.2,비 
184,제주,20160129,8.6,10.0,7.7,10.0,32.4,비 
184,제주,20160130,7.9,9.0,6.5,9.4,3.8,비 
184,제주,20160131,4.6,6.5,3.1,8.1,0.0,구름많음 
185,고산,20151201,11.5,15.7,8.3,0,0.0,맑음 
185,고산,20151202,12.8,18.0,9.8,0,1.6,비 
185,고산,20151203,8.4,10.8,5.9,0,1.8,비 
185,고산,20151204,8.3,9.7,7.1,0,0.0,맑음 
185,고산,20151205,9.5,10.5,7.8,0,0.0,맑음 
185,고산,20151206,9.0,10.0,8.3,0,0.0,맑음 
185,고산,20151207,8.5,9.4,7.8,0,0.0,맑음 
185,고산,20151208,9.1,10.2,7.7,0,0.0,맑음 
185,고산,20151209,13.4,17.9,8.3,0,0.0,맑음 
185,고산,20151210,14.5,15.8,12.9,0,50.4,비 
185,고산,20151211,11.0,13.0,9.9,0,4.7,비 
185,고산,20151212,12.2,15.5,10.1,0,0.0,맑음 
185,고산,20151213,13.0,16.6,10.8,0,0.0,맑음 
185,고산,20151214,12.8,14.0,11.7,0,14.6,비 
185,고산,20151215,10.2,12.5,8.6,0,0.0,맑음 
185,고산,20151216,6.1,9.0,2.1,0,0.1,맑음 
185,고산,20151217,4.4,5.8,1.7,0,1.1,비 
185,고산,20151218,6.5,7.5,5.1,0,0.0,맑음 
185,고산,20151219,7.5,10.1,4.7,0,0.0,맑음 
185,고산,20151220,9.2,11.1,7.0,0,11.6,비 
185,고산,20151221,10.6,13.9,8.7,0,5.2,비 
185,고산,20151222,11.7,15.8,8.2,0,0.0,맑음 
185,고산,20151223,12.6,16.7,10.5,0,3.0,비 
185,고산,20151224,9.2,10.5,8.0,0,0.0,맑음 
185,고산,20151225,7.7,9.1,6.7,0,0.0,맑음 
185,고산,20151226,11.0,13.9,8.6,0,0.0,맑음 
185,고산,20151227,6.3,10.9,4.0,0,0.0,맑음 
185,고산,20151228,5.2,6.8,4.1,0,0.0,맑음 
185,고산,20151229,6.6,7.7,5.2,0,0.0,맑음 
185,고산,20151230,7.6,11.2,5.3,0,0.0,맑음 
185,고산,20151231,8.4,10.5,7.2,0,0.2,맑음 
185,고산,20160101,8.4,11.4,5.3,0,0.0,맑음 
185,고산,20160102,12.2,15.1,9.5,0,0.0,맑음 
185,고산,20160103,12.6,16.1,10.7,0,0.0,맑음 
185,고산,20160104,11.0,12.9,9.6,0,0.0,맑음 
185,고산,20160105,7.1,10.0,5.3,0,5.3,비 
185,고산,20160106,6.7,7.4,5.4,0,0.0,맑음 
185,고산,20160107,6.2,8.2,5.4,0,0.0,맑음 
185,고산,20160108,5.4,8.1,4.6,0,0.3,맑음 
185,고산,20160109,6.1,9.8,4.8,0,0.0,맑음 
185,고산,20160110,7.2,10.1,6.1,0,0.0,맑음 
185,고산,20160111,5.3,6.6,3.8,0,0.0,맑음 
185,고산,20160112,4.3,5.0,3.6,0,0.0,맑음 
185,고산,20160113,4.2,5.7,3.4,0,0.1,맑음 
185,고산,20160114,5.7,8.2,4.2,0,0.0,맑음 
185,고산,20160115,6.8,11.2,4.5,0,0.0,맑음 
185,고산,20160116,8.1,12.4,5.0,0,0.0,맑음 
185,고산,20160117,8.0,9.6,6.8,0,18.6,비 
185,고산,20160118,3.7,8.1,-0.7,0,0.0,맑음 
185,고산,20160119,0.5,2.0,-1.1,0,0.6,비 
185,고산,20160120,1.9,2.9,0.7,0,0.0,맑음 
185,고산,20160121,2.6,3.6,1.7,0,0.0,맑음 
185,고산,20160122,2.2,2.9,0.8,0,0.0,맑음 
185,고산,20160123,-1.0,2.7,-5.2,0,0.0,맑음 
185,고산,20160124,-3.5,-0.3,-6.2,0,1.8,비 
185,고산,20160125,1.3,3.7,-1.8,0,5.2,비 
185,고산,20160126,5.2,7.4,3.4,0,0.0,맑음 
185,고산,20160127,7.2,9.2,5.3,0,0.0,맑음 
185,고산,20160128,8.2,11.4,5.2,0,29.1,비 
185,고산,20160129,7.9,10.1,6.8,0,9.1,비 
185,고산,20160130,7.1,7.9,5.7,0,0.0,맑음 
185,고산,20160131,4.2,6.0,2.8,0,0.0,맑음 
188,성산,20151201,10.9,16.2,6.2,0,0.0,맑음 
188,성산,20151202,13.1,18.7,7.8,0,2.2,비 
188,성산,20151203,7.4,10.2,5.4,0,4.3,비 
188,성산,20151204,7.9,10.6,5.8,0,0.1,맑음 
188,성산,20151205,8.3,10.6,3.2,0,0.0,맑음 
188,성산,20151206,8.7,9.9,8.3,0,0.0,맑음 
188,성산,20151207,8.3,11.4,6.2,0,0.0,맑음 
188,성산,20151208,8.1,11.4,5.3,0,0.0,맑음 
188,성산,20151209,13.7,18.0,5.8,0,0.0,맑음 
188,성산,20151210,15.9,17.3,13.8,0,63.0,비 
188,성산,20151211,11.2,13.8,9.2,0,4.4,비 
188,성산,20151212,12.9,14.1,11.4,0,0.0,맑음 
188,성산,20151213,14.1,16.5,11.4,0,0.0,맑음 
188,성산,20151214,13.8,15.4,11.7,0,3.6,비 
188,성산,20151215,10.2,12.5,7.3,0,0.0,맑음 
188,성산,20151216,4.9,8.5,0.9,0,6.3,비 
188,성산,20151217,3.1,4.7,0.5,0,6.5,비 
188,성산,20151218,5.2,7.5,3.3,0,0.0,맑음 
188,성산,20151219,5.8,10.5,1.8,0,0.0,맑음 
188,성산,20151220,9.6,12.4,3.6,0,4.9,비 
188,성산,20151221,10.5,14.7,6.8,0,5.0,비 
188,성산,20151222,12.8,16.3,6.2,0,0.0,맑음 
188,성산,20151223,13.5,15.9,10.9,0,11.5,비 
188,성산,20151224,9.0,11.4,7.3,0,0.0,맑음 
188,성산,20151225,6.1,9.9,1.6,0,0.0,맑음 
188,성산,20151226,9.0,13.6,1.1,0,0.0,맑음 
188,성산,20151227,5.7,8.4,3.2,0,0.0,맑음 
188,성산,20151228,4.9,7.0,3.3,0,0.0,맑음 
188,성산,20151229,5.6,8.0,2.2,0,0.0,맑음 
188,성산,20151230,6.7,10.7,3.2,0,0.0,맑음 
188,성산,20151231,6.9,9.7,2.8,0,0.9,비 
188,성산,20160101,7.1,11.6,3.4,0,0.0,맑음 
188,성산,20160102,10.8,15.2,6.1,0,0.0,맑음 
188,성산,20160103,10.9,17.5,5.5,0,0.0,맑음 
188,성산,20160104,10.8,13.4,6.2,0,0.0,맑음 
188,성산,20160105,7.5,10.2,5.7,0,4.7,비 
188,성산,20160106,6.6,9.2,4.8,0,0.0,맑음 
188,성산,20160107,6.2,8.8,4.8,0,0.0,맑음 
188,성산,20160108,4.0,7.1,2.8,0,0.8,비 
188,성산,20160109,5.0,9.1,1.3,0,0.0,맑음 
188,성산,20160110,6.6,10.6,3.2,0,0.0,맑음 
188,성산,20160111,5.2,7.0,3.0,0,0.0,맑음 
188,성산,20160112,4.0,6.4,2.7,0,0.0,맑음 
188,성산,20160113,3.4,5.9,1.7,0,0.4,맑음 
188,성산,20160114,4.6,8.1,1.8,0,0.0,맑음 
188,성산,20160115,5.4,11.4,1.4,0,0.0,맑음 
188,성산,20160116,7.2,12.4,3.3,0,0.0,맑음 
188,성산,20160117,8.9,11.4,5.8,0,27.3,비 
188,성산,20160118,2.9,7.2,-1.6,0,2.2,비 
188,성산,20160119,0.1,3.0,-2.0,0,3.0,비 
188,성산,20160120,1.5,4.1,0.6,0,0.0,맑음 
188,성산,20160121,1.8,3.2,0.6,0,0.1,맑음 
188,성산,20160122,2.2,4.4,0.5,0,0.0,맑음 
188,성산,20160123,-1.9,2.3,-5.7,0,13.3,비 
188,성산,20160124,-4.4,-1.4,-6.9,0,5.3,비 
188,성산,20160125,0.2,2.8,-2.3,0,4.9,비 
188,성산,20160126,4.0,7.1,1.4,0,0.0,맑음 
188,성산,20160127,5.1,8.0,-0.6,0,0.1,맑음 
188,성산,20160128,9.0,12.5,4.5,0,66.7,비 
188,성산,20160129,8.4,10.5,6.8,0,38.7,비 
188,성산,20160130,7.5,8.7,5.4,0,0.3,맑음 
188,성산,20160131,4.1,6.2,2.4,0,0.0,맑음 
189,서귀포,20151201,12.3,15.6,9.4,0,0.0,맑음 
189,서귀포,20151202,13.6,18.1,9.5,0,1.8,비 
189,서귀포,20151203,7.7,10.4,4.9,0,4.8,비 
189,서귀포,20151204,7.8,10.0,6.1,0,0.0,맑음 
189,서귀포,20151205,9.0,11.3,4.5,0,0.0,맑음 
189,서귀포,20151206,9.6,11.4,8.3,0,2.9,비 
189,서귀포,20151207,10.2,14.6,6.4,0,0.0,맑음 
189,서귀포,20151208,10.7,14.5,6.9,0,0.0,맑음 
189,서귀포,20151209,14.2,17.6,9.1,0,0.0,맑음 
189,서귀포,20151210,15.6,16.7,14.3,0,50.3,비 
189,서귀포,20151211,13.1,15.5,11.4,0,3.8,비 
189,서귀포,20151212,12.3,14.6,10.7,0,0.0,맑음 
189,서귀포,20151213,13.7,16.2,12.2,0,0.0,맑음 
189,서귀포,20151214,12.9,13.7,12.2,0,19.1,비 
189,서귀포,20151215,11.3,15.1,7.2,0,0.0,맑음 
189,서귀포,20151216,5.5,8.7,1.0,0,2.3,비 
189,서귀포,20151217,3.8,6.2,1.4,0,1.3,비 
189,서귀포,20151218,6.0,10.0,3.1,0,0.0,맑음 
189,서귀포,20151219,6.8,11.4,3.2,0,0.0,맑음 
189,서귀포,20151220,9.8,11.8,6.0,0,6.1,비 
189,서귀포,20151221,12.3,15.4,10.2,0,4.3,비 
189,서귀포,20151222,13.3,16.4,9.2,0,0.0,맑음 
189,서귀포,20151223,13.7,15.5,11.9,0,4.8,비 
189,서귀포,20151224,11.7,16.7,9.3,0,0.0,맑음 
189,서귀포,20151225,8.1,12.0,5.4,0,0.0,맑음 
189,서귀포,20151226,9.7,13.5,5.8,0,0.0,맑음 
189,서귀포,20151227,8.3,12.1,5.1,0,0.0,맑음 
189,서귀포,20151228,6.4,9.0,3.5,0,0.0,맑음 
189,서귀포,20151229,6.6,10.1,3.4,0,0.0,맑음 
189,서귀포,20151230,7.3,10.9,3.6,0,0.0,맑음 
189,서귀포,20151231,9.0,12.1,6.6,0,0.0,맑음 
189,서귀포,20160101,8.9,11.7,6.1,0,0.0,맑음 
189,서귀포,20160102,12.0,14.7,9.2,0,0.0,맑음 
189,서귀포,20160103,12.4,16.7,9.0,0,0.0,맑음 
189,서귀포,20160104,12.2,16.1,8.3,0,0.0,맑음 
189,서귀포,20160105,8.6,11.8,6.7,0,5.6,비 
189,서귀포,20160106,9.2,12.5,6.9,0,0.0,맑음 
189,서귀포,20160107,6.4,8.8,4.9,0,0.0,맑음 
189,서귀포,20160108,5.3,8.0,2.9,0,0.0,맑음 
189,서귀포,20160109,5.1,9.7,1.6,0,0.0,맑음 
189,서귀포,20160110,7.0,11.0,3.3,0,0.0,맑음 
189,서귀포,20160111,8.6,12.1,6.4,0,0.0,맑음 
189,서귀포,20160112,5.4,8.2,3.6,0,0.0,맑음 
189,서귀포,20160113,3.9,6.1,1.8,0,0.0,맑음 
189,서귀포,20160114,5.5,8.9,3.7,0,0.0,맑음 
189,서귀포,20160115,6.6,11.0,4.0,0,0.0,맑음 
189,서귀포,20160116,7.7,12.0,3.2,0,0.0,맑음 
189,서귀포,20160117,9.3,10.2,8.1,0,12.1,비 
189,서귀포,20160118,3.3,8.3,-1.5,0,0.9,비 
189,서귀포,20160119,0.2,2.8,-1.8,0,1.4,비 
189,서귀포,20160120,3.6,6.5,0.7,0,0.0,맑음 
189,서귀포,20160121,4.3,6.4,2.5,0,1.2,비 
189,서귀포,20160122,4.7,7.7,1.6,0,0.0,맑음 
189,서귀포,20160123,0.6,5.1,-5.1,0,0.4,맑음 
189,서귀포,20160124,-3.9,-1.5,-6.4,0,6.8,비 
189,서귀포,20160125,0.7,2.7,-2.5,0,0.8,비 
189,서귀포,20160126,4.4,6.7,2.3,0,0.0,맑음 
189,서귀포,20160127,6.2,9.3,2.7,0,0.0,맑음 
189,서귀포,20160128,9.7,13.3,5.9,0,26.5,비 
189,서귀포,20160129,9.2,10.3,8.1,0,19.2,비 
189,서귀포,20160130,8.3,10.4,6.5,0,0.0,맑음 
189,서귀포,20160131,7.2,11.4,4.0,0,0.0,맑음 
